"_id","age","school","typeOfSchool","province","district","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","P25","P26","P27","P28","P29","P30"
"66ff6044de2873938935d119",12,"IEP Exitus","Particular","Piura","Piura",true,true,true,false,false,false,false,true,true,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false
"66ff6044de2873938935d11a",12,"IEP Exitus","Particular","Piura","Piura",false,false,true,true,false,false,true,false,true,false,false,false,true,true,true,false,true,true,false,false,false,false,false,false,false,false,false,true,true,false
"66ff6044de2873938935d11b",12,"IEP Exitus","Particular","Piura","Piura",true,false,false,true,true,false,false,false,true,false,true,true,false,false,false,false,false,true,false,false,false,false,false,false,true,true,false,true,true,false
"66ff6044de2873938935d11c",12,"IEP Exitus","Particular","Piura","Piura",true,false,true,true,false,true,true,false,true,true,false,false,false,false,false,true,true,true,false,false,false,true,true,false,true,false,false,false,false,false
"66ff6044de2873938935d11d",12,"IEP Exitus","Particular","Piura","Piura",true,true,false,true,true,false,false,true,true,false,false,true,false,false,true,false,false,false,true,false,true,false,false,true,false,true,false,true,true,true
"66ff6044de2873938935d11e",12,"IEP Exitus","Particular","Piura","Piura",false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false
"66ff6044de2873938935d11f",12,"IEP Exitus","Particular","Piura","Piura",false,false,true,true,false,false,true,true,true,false,true,false,true,true,true,false,false,false,true,true,false,false,true,false,false,true,false,true,true,true
"66ff6044de2873938935d120",12,"IEP Exitus","Particular","Piura","Piura",false,false,false,false,false,true,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false
"66ff6044de2873938935d121",12,"IEP Exitus","Particular","Piura","Piura",false,false,true,false,true,false,true,false,false,false,true,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false
"66ff6044de2873938935d122",12,"IEP Exitus","Particular","Piura","Piura",true,true,true,true,true,false,false,true,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,true
"66ff6044de2873938935d123",12,"IEP Exitus","Particular","Piura","Piura",false,false,true,false,true,true,false,true,true,true,true,true,false,false,true,true,false,false,true,false,true,false,false,false,true,true,false,false,true,false
"66ff6044de2873938935d124",12,"IEP Exitus","Particular","Piura","Piura",true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,false,false,true,false,true,false,true,true,true,true
"66ff6044de2873938935d125",12,"IEP Exitus","Particular","Piura","Piura",true,false,true,false,false,false,true,false,true,false,true,false,false,false,false,false,true,false,true,true,true,true,true,true,false,false,false,false,false,true
"66ff6044de2873938935d126",12,"IEP Exitus","Particular","Piura","Piura",false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false
"66ff6044de2873938935d127",12,"IEP Exitus","Particular","Piura","Piura",false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false
"66ff6044de2873938935d128",12,"IEP Exitus","Particular","Piura","Piura",false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false
"66ff6044de2873938935d129",12,"IEP Exitus","Particular","Piura","Piura",false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,true,false,true,true,true,true,false,true
"66ff6044de2873938935d12a",12,"IEP Exitus","Particular","Piura","Piura",true,true,true,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,true,true,false,false,true,false,true,false,true
"66ff6044de2873938935d12b",12,"IEP Exitus","Particular","Piura","Piura",false,true,false,false,true,false,true,true,true,false,true,false,false,false,true,true,false,false,true,false,true,false,true,false,true,false,false,true,false,false
"66ff6044de2873938935d12c",12,"IEP Exitus","Particular","Piura","Piura",false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false
"66ff6044de2873938935d12d",12,"IEP Exitus","Particular","Piura","Piura",false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"66ff6044de2873938935d12e",12,"IEP Exitus","Particular","Piura","Piura",true,true,true,false,true,true,true,false,false,true,false,false,true,true,true,true,true,true,false,true,true,false,false,false,false,false,false,false,true,true
"66ff6044de2873938935d12f",12,"IEP Exitus","Particular","Piura","Piura",true,true,false,true,false,false,true,false,false,false,false,true,false,false,false,true,true,true,false,true,false,false,false,false,true,false,false,true,false,false
"66ff6044de2873938935d130",12,"IEP Exitus","Particular","Piura","Piura",false,false,false,false,true,true,true,false,true,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false
"66ff6044de2873938935d131",12,"IEP Exitus","Particular","Piura","Piura",false,false,false,false,true,true,true,true,false,true,false,false,false,false,true,false,true,true,false,true,false,false,true,false,false,true,false,false,true,true
"66ff6044de2873938935d132",12,"IEP Exitus","Particular","Piura","Piura",true,true,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false
"66ff6044de2873938935d133",12,"IEP Exitus","Particular","Piura","Piura",true,false,true,true,true,true,false,true,true,true,true,true,true,true,false,true,false,true,true,true,false,true,false,true,false,false,true,false,true,true
"66ff6044de2873938935d134",12,"IEP Exitus","Particular","Piura","Piura",false,false,true,false,true,true,false,true,true,false,false,true,true,true,true,false,false,false,true,false,true,false,true,false,true,false,false,true,true,true
"66ff6044de2873938935d135",12,"IEP Exitus","Particular","Piura","Piura",false,false,true,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,true,true,false,true,false,false
"66ff6044de2873938935d136",12,"IEP Exitus","Particular","Piura","Piura",true,false,true,false,true,false,false,false,true,false,false,true,false,false,true,false,false,true,true,false,false,false,false,false,false,true,false,false,false,false
"66ff6044de2873938935d137",12,"IEP Exitus","Particular","Piura","Piura",false,false,false,false,false,true,false,true,true,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,true,true,false,true,false,true
"66ff6044de2873938935d138",12,"IEP Exitus","Particular","Piura","Piura",false,false,false,false,false,false,true,true,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,true
"66ff6044de2873938935d139",12,"IEP Exitus","Particular","Piura","Piura",true,false,true,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"66ff6044de2873938935d13a",12,"IEP Exitus","Particular","Piura","Piura",true,true,true,true,false,true,false,false,false,false,false,false,true,false,true,true,false,false,false,true,true,false,false,false,true,true,true,true,false,false
"66ff6044de2873938935d13b",12,"IEP Exitus","Particular","Piura","Piura",true,false,false,false,false,true,true,true,true,true,false,false,false,false,true,true,false,true,false,false,true,false,true,false,true,false,true,false,true,true
"66ff6044de2873938935d13c",12,"IEP Exitus","Particular","Piura","Piura",false,false,false,false,true,true,false,false,true,true,false,false,false,false,false,true,false,false,true,false,true,false,true,false,false,false,false,true,false,false
"66ff6044de2873938935d13d",12,"IEP Exitus","Particular","Piura","Piura",false,false,false,false,true,true,false,false,true,false,true,false,true,true,true,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false
"66ff6044de2873938935d13e",12,"IEP Exitus","Particular","Piura","Piura",true,true,false,true,true,true,true,true,true,true,true,true,false,false,true,false,true,true,true,false,true,false,true,true,false,true,false,true,true,true
"66ff6044de2873938935d13f",12,"IEP Exitus","Particular","Piura","Piura",false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"66ff6044de2873938935d140",12,"IEP Exitus","Particular","Piura","Piura",false,true,true,false,true,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false
"66ff6044de2873938935d141",12,"IEP Exitus","Particular","Piura","Piura",false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"66ff6044de2873938935d142",12,"IEP Exitus","Particular","Piura","Piura",true,false,false,true,false,true,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false
"66ff6044de2873938935d143",12,"IEP Exitus","Particular","Piura","Piura",true,false,false,false,true,true,false,false,false,false,true,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false
"66ff6044de2873938935d144",12,"IEP Exitus","Particular","Piura","Piura",false,false,true,false,false,true,false,false,false,true,true,true,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false
"66ff6044de2873938935d145",12,"IEP Exitus","Particular","Piura","Piura",false,false,false,false,true,true,false,false,true,true,false,false,false,true,false,false,false,false,true,false,true,false,false,false,true,true,false,true,false,false
"66ff6044de2873938935d146",12,"IEP Exitus","Particular","Piura","Piura",true,false,true,false,true,true,false,true,true,false,false,true,false,true,false,false,false,false,true,true,false,false,true,false,false,true,false,true,true,true
"66ff6044de2873938935d147",12,"IEP Exitus","Particular","Piura","Piura",false,false,false,false,false,true,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"66ff6044de2873938935d148",12,"IEP Exitus","Particular","Piura","Piura",true,true,true,true,false,true,true,true,true,true,true,false,true,true,false,false,true,true,true,true,false,true,true,true,true,true,false,true,false,true
"66ff6044de2873938935d149",12,"IEP Exitus","Particular","Piura","Piura",false,false,false,false,false,false,false,true,false,true,false,true,false,false,true,false,false,false,false,true,true,false,false,false,true,false,false,false,false,true
"66ff6044de2873938935d14a",12,"IEP Exitus","Particular","Piura","Piura",false,false,false,false,true,false,false,false,false,false,true,true,false,false,false,true,false,true,false,false,false,false,true,false,false,false,false,false,false,false
"66ff6044de2873938935d14b",12,"IEP Exitus","Particular","Piura","Piura",true,false,false,true,false,true,false,true,false,true,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true
"66ff6044de2873938935d14c",12,"IEP Exitus","Particular","Piura","Piura",false,false,true,false,true,false,false,true,false,true,true,false,true,false,false,true,false,true,false,false,false,false,false,false,true,true,false,false,false,true
"66ff6044de2873938935d14d",12,"IEP Exitus","Particular","Piura","Piura",false,false,false,false,true,true,false,true,false,true,false,true,false,false,false,false,false,false,false,false,true,false,false,false,true,true,false,true,false,false
"66ff6044de2873938935d14e",12,"IEP Exitus","Particular","Piura","Piura",false,false,false,true,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,true,false,true,false,false,false,false,false,false
"66ff6044de2873938935d14f",12,"IEP Exitus","Particular","Piura","Piura",false,true,true,true,true,false,true,false,true,true,true,false,false,true,false,false,false,false,true,false,false,false,false,false,true,false,true,true,true,true
"66ff6044de2873938935d150",12,"IEP Exitus","Particular","Piura","Piura",true,false,true,false,true,false,false,false,true,true,false,true,false,false,true,true,false,true,false,true,false,true,false,false,false,false,true,true,true,true
"66ff6044de2873938935d151",12,"IEP Exitus","Particular","Piura","Piura",true,true,false,true,true,true,false,false,false,true,true,true,true,false,true,true,false,false,true,false,true,true,false,true,false,true,true,true,true,false
"66ff6044de2873938935d152",12,"IEP Exitus","Particular","Piura","Piura",true,false,true,false,true,false,true,true,true,false,false,false,true,false,true,true,true,true,true,false,false,false,false,false,false,true,false,true,true,false
"66ff6044de2873938935d153",12,"IEP Exitus","Particular","Piura","Piura",true,false,true,true,true,false,true,true,false,false,false,true,false,false,false,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true
"66ff6044de2873938935d154",12,"IEP Exitus","Particular","Piura","Piura",true,false,false,false,false,true,true,false,true,true,false,false,false,false,false,true,true,true,false,true,true,false,false,false,false,false,false,false,false,false
"66ff6044de2873938935d155",12,"IEP Exitus","Particular","Piura","Piura",false,false,true,true,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,true
"66ff6044de2873938935d156",12,"IEP Exitus","Particular","Piura","Piura",true,true,true,false,false,true,false,true,false,true,false,false,true,false,true,false,true,false,true,true,false,false,true,false,true,false,true,true,false,true
"66ff6044de2873938935d157",12,"IEP Exitus","Particular","Piura","Piura",false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false
"66ff6044de2873938935d158",12,"IEP Exitus","Particular","Piura","Piura",false,false,false,false,true,true,true,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true
"66ff6044de2873938935d159",12,"IEP Exitus","Particular","Piura","Piura",false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"66ff6044de2873938935d15a",12,"IEP Exitus","Particular","Piura","Piura",false,false,false,false,true,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
